TF,context,n_mito_total,n_oxphos,n_mitoribo,n_apoptosis_pro,n_apoptosis_anti,apop_balance,apoptosis_pro_genes,apoptosis_anti_genes,n_metab_other,k,frac,hyperg_p,bh_fdr
HOXB7,AP_HE,3,0,0,0,0,0,,,3,66,0.045454545454545456,0.665422819806035,0.9999978226741806
HOXB9,BA_TEB,3,0,0,0,0,0,,,3,109,0.027522935779816515,0.9232778793904269,0.9999978226741806
IRF1,AP_HE,3,0,0,0,0,0,,,3,87,0.034482758620689655,0.8305238479337218,0.9999978226741806
IRF9,HS_HE,3,0,0,0,0,0,,,3,60,0.05,0.6009998542780259,0.9999978226741806
IRF9,HS_TEB,3,0,0,1,0,1,Pmaip1,,2,141,0.02127659574468085,0.9780723824973072,0.9999978226741806
IRX2,BA_LE,3,1,0,0,0,0,,,2,90,0.03333333333333333,0.8472474028658692,0.9999978226741806
JUN,HS_HE,3,0,0,0,0,0,,,3,104,0.028846153846153848,0.9076024096581343,0.9999978226741806
KLF3,AP_TEB,3,0,0,0,0,0,,,3,123,0.024390243902439025,0.9550989039093879,0.9999978226741806
KLF3,HS_TEB,3,0,0,1,0,1,Pmaip1,,2,152,0.019736842105263157,0.9860313613855232,0.9999978226741806
KLF4,BA_DUCT,3,0,0,0,0,0,,,3,229,0.013100436681222707,0.9995097674846348,0.9999978226741806
KLF5,HS_TEB,3,0,0,1,0,1,Pmaip1,,2,233,0.012875536480686695,0.9995909353349892,0.9999978226741806
KLF6,BA_DUCT,3,0,0,0,0,0,,,3,174,0.017241379310344827,0.9944677505458578,0.9999978226741806
KLF6,HS_TEB,3,0,0,1,0,1,Pmaip1,,2,173,0.017341040462427744,0.9942262296333333,0.9999978226741806
KLF7,HS_TEB,3,0,0,0,0,0,,,3,114,0.02631578947368421,0.9364830158205799,0.9999978226741806
KLF9,BA_DUCT,3,1,0,0,0,0,,,2,198,0.015151515151515152,0.9980467054183677,0.9999978226741806
KLF9,HS_DUCT,3,0,0,0,0,0,,,3,34,0.08823529411764706,0.2527929112432306,0.9999978226741806
KLF9,HS_HE,3,0,0,0,0,0,,,3,82,0.036585365853658534,0.7991657119337544,0.9999978226741806
LEF1,HS_TEB,3,0,0,1,1,0,Pmaip1,Bcl2,1,134,0.022388059701492536,0.9709267539355374,0.9999978226741806
LHX2,HS_LE,3,0,0,0,0,0,,,3,44,0.06818181818181818,0.3947645047099561,0.9999978226741806
LIN54,AP_LE,3,0,0,0,0,0,,,3,59,0.05084745762711865,0.589502753208835,0.9999978226741806
MAFB,HS_TEB,3,0,0,1,0,1,Pmaip1,,2,151,0.019867549668874173,0.9854415450129899,0.9999978226741806
MAFK,BA_DUCT,3,0,0,0,0,0,,,3,232,0.01293103448275862,0.9995719771339537,0.9999978226741806
MAX,HS_HE,3,0,0,0,0,0,,,3,145,0.020689655172413793,0.981369278211967,0.9999978226741806
MEIS2,HS_LE,3,1,0,0,0,0,,,2,43,0.06976744186046512,0.380670400582786,0.9999978226741806
MITF,AP_HE,3,0,0,0,0,0,,,3,115,0.02608695652173913,0.9388584091385894,0.9999978226741806
MSANTD4,BA_TEB,3,0,1,0,0,0,,,2,46,0.06521739130434782,0.42267999530624445,0.9999978226741806
MSGN1,BA_TEB,3,0,0,0,0,0,,,3,82,0.036585365853658534,0.7991657119337544,0.9999978226741806
MTF2,AP_TEB,3,0,0,1,0,1,Bbc3,,2,207,0.014492753623188406,0.9986872060308868,0.9999978226741806
MXI1,AP_DUCT,3,1,0,0,0,0,,,2,36,0.08333333333333333,0.28100517441469475,0.9999978226741806
MYB,AP_HE,3,0,1,0,0,0,,,2,83,0.03614457831325301,0.8058018746619571,0.9999978226741806
NCOA3,AP_TEB,3,0,0,0,0,0,,,3,118,0.025423728813559324,0.9455001452592495,0.9999978226741806
NEUROG2,BA_TEB,3,0,0,0,0,0,,,3,113,0.02654867256637168,0.9340226421905069,0.9999978226741806
NFE2L2,AP_TEB,3,0,0,1,0,1,Bbc3,,2,163,0.018404907975460124,0.9911761650815483,0.9999978226741806
NFE2L2,BA_DUCT,3,0,0,0,0,0,,,3,222,0.013513513513513514,0.9993279850373473,0.9999978226741806
NFE2L2,HS_TEB,3,0,0,1,0,1,Pmaip1,,2,214,0.014018691588785047,0.9990384799067795,0.9999978226741806
NFE2L3,AP_LE,3,0,0,0,0,0,,,3,91,0.03296703296703297,0.8524942944867185,0.9999978226741806
NFIC,AP_TEB,3,0,0,1,0,1,Bok,,2,156,0.019230769230769232,0.9881692955305911,0.9999978226741806
NFIL3,HS_TEB,3,0,0,2,0,2,"Bnip3,Pmaip1",,1,97,0.030927835051546393,0.8807825166143979,0.9999978226741806
NFKB2,BA_DUCT,3,0,0,0,0,0,,,3,149,0.020134228187919462,0.9841894925002601,0.9999978226741806
NFXL1,AP_LE,3,0,0,0,0,0,,,3,92,0.03260869565217391,0.8575832585595591,0.9999978226741806
NPAS1,HS_LE,3,0,0,0,0,0,,,3,52,0.057692307692307696,0.5033383179850707,0.9999978226741806
NR1H3,AP_HE,3,0,1,0,0,0,,,2,76,0.039473684210526314,0.7552736542896286,0.9999978226741806
NR1H3,HS_HE,3,0,0,1,0,1,Aifm2,,2,81,0.037037037037037035,0.7923406560182737,0.9999978226741806
NR2F1,BA_DUCT,3,1,0,0,0,0,,,2,181,0.016574585635359115,0.9959042376861031,0.9999978226741806
NR2F2,BA_DUCT,3,0,0,0,0,0,,,3,182,0.016483516483516484,0.9960772532308253,0.9999978226741806
NR2F2,HS_HE,3,0,0,1,0,1,Aifm2,,2,97,0.030927835051546393,0.8807825166143979,0.9999978226741806
NR2F6,HS_HE,3,0,0,0,0,0,,,3,79,0.0379746835443038,0.7781111908434168,0.9999978226741806
NR3C1,BA_DUCT,3,0,0,0,0,0,,,3,206,0.014563106796116505,0.9986277118739193,0.9999978226741806
OLIG1,BA_TEB,3,0,0,0,0,0,,,3,77,0.03896103896103896,0.7630890852871566,0.9999978226741806
OTX2,BA_TEB,3,0,0,0,0,0,,,3,134,0.022388059701492536,0.9709267539355374,0.9999978226741806
PA2G4,HS_LE,3,0,0,0,0,0,,,3,76,0.039473684210526314,0.7552736542896286,0.9999978226741806
PBX3,BA_DUCT,3,0,0,0,0,0,,,3,209,0.014354066985645933,0.9987987175350643,0.9999978226741806
PCGF2,HS_LE,3,0,0,0,0,0,,,3,36,0.08333333333333333,0.28100517441469475,0.9999978226741806
PHOX2A,HS_LE,3,0,0,0,0,0,,,3,46,0.06521739130434782,0.42267999530624445,0.9999978226741806
POU3F2,HS_LE,3,1,0,0,0,0,,,2,58,0.05172413793103448,0.5777943930130959,0.9999978226741806
RAG1,BA_LE,3,0,0,0,0,0,,,3,100,0.03,0.8930309790470703,0.9999978226741806
RARG,HS_TEB,3,0,0,0,1,-1,,Bcl2,2,142,0.02112676056338028,0.9789451930987572,0.9999978226741806
RFX8,BA_LE,3,1,0,1,0,1,Bid,,1,85,0.03529411764705882,0.8185206528737954,0.9999978226741806
RUNX3,HS_TEB,3,1,0,1,1,0,Pmaip1,Bcl2,0,173,0.017341040462427744,0.9942262296333333,0.9999978226741806
SALL1,AP_TEB,3,0,0,0,0,0,,,3,87,0.034482758620689655,0.8305238479337218,0.9999978226741806
SALL2,BA_TEB,3,0,0,0,0,0,,,3,113,0.02654867256637168,0.9340226421905069,0.9999978226741806
SALL2,HS_LE,3,0,0,0,0,0,,,3,46,0.06521739130434782,0.42267999530624445,0.9999978226741806
SALL3,HS_LE,3,0,0,0,0,0,,,3,41,0.07317073170731707,0.35228556339706363,0.9999978226741806
SMAD3,AP_HE,3,0,1,0,0,0,,,2,76,0.039473684210526314,0.7552736542896286,0.9999978226741806
SMAD3,AP_TEB,3,0,0,1,0,1,Bbc3,,2,184,0.016304347826086956,0.9964022216352463,0.9999978226741806
SMAD3,BA_DUCT,3,0,0,0,0,0,,,3,238,0.012605042016806723,0.9996740154299995,0.9999978226741806
SMYD3,BA_TEB,3,0,1,0,0,0,,,2,57,0.05263157894736842,0.565878138619336,0.9999978226741806
SOX11,HS_LE,3,0,0,0,0,0,,,3,75,0.04,0.747251763280492,0.9999978226741806
SOX12,HS_LE,3,0,0,0,0,0,,,3,38,0.07894736842105263,0.3094753545493355,0.9999978226741806
SOX17,HS_HE,3,0,0,1,0,1,Aifm2,,2,54,0.05555555555555555,0.528924494036996,0.9999978226741806
SOX21,BA_LE,3,0,0,0,0,0,,,3,100,0.03,0.8930309790470703,0.9999978226741806
SOX9,HS_LE,3,0,0,0,0,0,,,3,74,0.04054054054054054,0.7390209485739874,0.9999978226741806
SPDEF,BA_TEB,3,0,0,0,0,0,,,3,84,0.03571428571428571,0.8122524109385081,0.9999978226741806
SPI1,HS_TEB,3,0,0,1,0,1,Pmaip1,,2,235,0.01276595744680851,0.999626407915727,0.9999978226741806
SREBF2,HS_LE,3,0,1,0,0,0,,,2,88,0.03409090909090909,0.8362657026612595,0.9999978226741806
STAT3,BA_DUCT,3,1,0,0,0,0,,,2,244,0.012295081967213115,0.9997520222303213,0.9999978226741806
STAT3,HS_HE,3,0,0,0,0,0,,,3,131,0.022900763358778626,0.9672322670377314,0.9999978226741806
STAT5A,BA_HE,3,0,0,1,0,1,Aifm2,,2,115,0.02608695652173913,0.9388584091385894,0.9999978226741806
TBX5,BA_DUCT,3,1,0,0,0,0,,,2,180,0.016666666666666666,0.9957238135287496,0.9999978226741806
TCF7L2,BA_DUCT,3,0,0,1,0,1,Aifm2,,2,187,0.016042780748663103,0.9968410968284396,0.9999978226741806
TEAD2,HS_LE,3,0,0,0,0,0,,,3,75,0.04,0.747251763280492,0.9999978226741806
TEAD3,AP_TEB,3,0,0,1,0,1,Bok,,2,86,0.03488372093023256,0.8246099876652022,0.9999978226741806
TGIF1,HS_LE,3,1,0,0,0,0,,,2,32,0.09375,0.2250298267330317,0.9999978226741806
TGIF2,AP_TEB,3,0,0,1,0,1,Bbc3,,2,169,0.01775147928994083,0.9931538784501381,0.9999978226741806
THRB,BA_DUCT,3,0,0,0,0,0,,,3,119,0.025210084033613446,0.94756076734299155,0.9999978226741806
THYN1,BA_TEB,3,0,1,0,0,0,,,2,67,0.04477611940298507,0.6753891943606904,0.9999978226741806
TMF1,HS_LE,3,0,0,0,0,0,,,3,47,0.06382978723404255,0.4364738857256517,0.9999978226741806
TP63,AP_HE,3,0,1,0,0,0,,,2,92,0.03260869565217391,0.8575832585595591,0.9999978226741806
TP63,BA_DUCT,3,1,0,0,0,0,,,2,297,0.010101010101010102,0.9999788302903649,0.9999978226741806
TP73,BA_LE,3,0,0,0,0,0,,,3,102,0.029411764705882353,0.9005571124826495,0.9999978226741806
TSC22D1,BA_TEB,3,0,0,0,0,0,,,3,87,0.034482758620689655,0.8305238479337218,0.9999978226741806
TWIST1,AP_TEB,3,1,0,1,0,1,Bbc3,,1,125,0.024,0.9584759881972954,0.9999978226741806
UBP1,AP_LE,3,2,0,0,0,0,,,1,69,0.043478260869565216,0.6946598681659236,0.9999978226741806
VDR,HS_HE,3,0,0,0,0,0,,,3,99,0.030303030303030304,0.8890794080011915,0.9999978226741806
XBP1,HS_HE,3,0,0,0,0,0,,,3,73,0.0410958904109589,0.730578919425589,0.9999978226741806
YY2,BA_TEB,3,1,0,0,0,0,,,2,100,0.03,0.8930309790470703,0.9999978226741806
ZBTB12,AP_LE,3,0,0,0,0,0,,,3,140,0.02142857142857143,0.9771651860624546,0.9999978226741806
ZBTB12,AP_TEB,3,0,0,1,0,1,Bbc3,,2,87,0.034482758620689655,0.8305238479337218,0.9999978226741806
ZBTB9,BA_TEB,3,0,0,0,0,0,,,3,128,0.0234375,0.9630977599104117,0.9999978226741806
ZBTB9,HS_LE,3,0,0,0,0,0,,,3,32,0.09375,0.2250298267330317,0.9999978226741806
ZEB1,BA_DUCT,3,1,0,0,0,0,,,2,199,0.01507537688442211,0.9981307440402964,0.9999978226741806
ZEB1,HS_TEB,3,0,0,0,1,-1,,Bcl2,2,156,0.019230769230769232,0.9881692955305911,0.9999978226741806
ZFP28,BA_TEB,3,0,0,1,0,1,Bak1,,2,82,0.036585365853658534,0.7991657119337544,0.9999978226741806
ZFP57,HS_LE,3,0,1,0,0,0,,,2,34,0.08823529411764706,0.2527929112432306,0.9999978226741806
ZFP69,BA_LE,3,0,0,0,0,0,,,3,62,0.04838709677419355,0.6233495234513685,0.9999978226741806
ZHX1,HS_HE,3,0,0,0,0,0,,,3,83,0.03614457831325301,0.8058018746619571,0.9999978226741806
ZIC2,BA_TEB,3,0,0,0,0,0,,,3,145,0.020689655172413793,0.981369278211967,0.9999978226741806
ZNF100,BA_TEB,3,0,0,0,0,0,,,3,147,0.02040816326530612,0.9828346942533532,0.9999978226741806
ZNF107,AP_LE,3,0,2,0,0,0,,,1,132,0.022727272727272728,0.96851043621893,0.9999978226741806
ZNF138,AP_LE,3,1,1,0,0,0,,,1,92,0.03260869565217391,0.8575832585595591,0.9999978226741806
ZNF138,HS_LE,3,1,0,0,0,0,,,2,39,0.07692307692307693,0.3237517794753982,0.9999978226741806
ZNF181,HS_HE,3,0,0,0,0,0,,,3,32,0.09375,0.2250298267330317,0.9999978226741806
ZNF217,AP_TEB,3,0,0,0,0,0,,,3,226,0.01327433628318584,0.9994386934047942,0.9999978226741806
ZNF280C,BA_LE,3,0,1,0,0,0,,,2,133,0.022556390977443608,0.9697413974857791,0.9999978226741806
ZNF300,BA_LE,3,1,0,1,0,1,Bid,,1,127,0.023622047244094488,0.9616137603768027,0.9999978226741806
ZNF35,HS_LE,3,1,0,0,0,0,,,2,57,0.05263157894736842,0.565878138619336,0.9999978226741806
ZNF358,AP_TEB,3,0,0,1,0,1,Bok,,2,71,0.04225352112676056,0.7130530219532435,0.9999978226741806
ZNF362,AP_TEB,3,0,0,0,0,0,,,3,78,0.038461538461538464,0.7707006767907225,0.9999978226741806
ZNF367,HS_TEB,3,0,0,1,0,1,Pmaip1,,2,86,0.03488372093023256,0.8246099876652022,0.9999978226741806
ZNF410,AP_LE,3,2,0,0,0,0,,,1,73,0.0410958904109589,0.730578919425589,0.9999978226741806
ZNF428,BA_TEB,3,0,0,0,0,0,,,3,74,0.04054054054054054,0.7390209485739874,0.9999978226741806
ZNF503,HS_LE,3,0,0,0,0,0,,,3,52,0.057692307692307696,0.5033383179850707,0.9999978226741806
ZNF581,HS_LE,3,0,1,0,0,0,,,2,37,0.08108108108108109,0.2952193576998819,0.9999978226741806
ZNF598,AP_LE,3,0,0,0,0,0,,,3,112,0.026785714285714284,0.931474657991938,0.9999978226741806
ZNF668,AP_LE,3,0,1,0,0,0,,,2,93,0.03225806451612903,0.8625178293173452,0.9999978226741806
ZNF678,AP_LE,3,0,2,0,0,0,,,1,79,0.0379746835443038,0.7781111908434168,0.9999978226741806
ZNF750,HS_TEB,3,0,0,1,0,1,Pmaip1,,2,150,0.02,0.9848278902248735,0.9999978226741806
ZNF77,AP_LE,3,0,0,0,0,0,,,3,67,0.04477611940298507,0.6753891943606904,0.9999978226741806
ZNF775,AP_LE,3,0,0,0,0,0,,,3,61,0.04918032786885246,0.6122828780010506,0.9999978226741806
ZNF823,BA_TEB,3,0,2,0,0,0,,,1,82,0.036585365853658534,0.7991657119337544,0.9999978226741806
ZNF845,AP_LE,3,0,0,0,0,0,,,3,56,0.05357142857142857,0.5537579316800357,0.9999978226741806
ZNF888,BA_LE,3,0,0,0,0,0,,,3,58,0.05172413793103448,0.5777943930130959,0.9999978226741806
ZNF93,BA_TEB,3,0,0,0,0,0,,,3,183,0.01639344262295082,0.996243153718508,0.9999978226741806
ZSCAN10,HS_LE,3,0,0,0,0,0,,,3,35,0.08571428571428572,0.2668552178336721,0.9999978226741806
AHR,AP_HE,2,0,0,0,0,0,,,2,52,0.038461538461538464,0.7541779685732284,0.9999978226741806
AKNA,HS_TEB,2,0,0,1,1,0,Pmaip1,Bcl2,0,77,0.025974025974025976,0.9110871121817208,0.9999978226741806
AR,AP_DUCT,2,0,0,0,0,0,,,2,61,0.03278688524590164,0.8276395742161015,0.9999978226741806
ARID3B,AP_LE,2,0,0,0,0,0,,,2,50,0.04,0.734559682924998,0.9999978226741806
ARID3B,AP_TEB,2,0,0,0,0,0,,,2,47,0.0425531914893617,0.7026448823371741,0.9999978226741806
ARNT2,BA_DUCT,2,0,0,0,0,0,,,2,100,0.02,0.9673103504220564,0.9999978226741806
ARNTL,AP_HE,2,0,0,0,0,0,,,2,53,0.03773584905660377,0.7635095631401976,0.9999978226741806
ARNTL2,HS_TEB,2,0,0,1,0,1,Pmaip1,,1,130,0.015384615384615385,0.9916364043886132,0.9999978226741806
ATF3,HS_DUCT,2,0,0,0,0,0,,,2,40,0.05,0.6157779862363579,0.9999978226741806
ATOH8,AP_HE,2,0,1,0,0,0,,,1,39,0.05128205128205128,0.6018905011578153,0.9999978226741806
ATOH8,HS_LE,2,0,0,1,0,1,Bok,,1,25,0.08,0.3698944906792694,0.9999978226741806
ATOH8,HS_TEB,2,0,0,1,0,1,Bok,,1,104,0.019230769230769232,0.9726543226617819,0.9999978226741806
BACH1,AP_HE,2,0,0,0,0,0,,,2,115,0.017391304347826087,0.9833544111196697,0.9999978226741806
BACH1,BA_HE,2,0,0,1,0,1,Aifm2,,1,136,0.014705882352941176,0.9936692266125218,0.9999978226741806
BACH2,HS_TEB,2,0,0,1,1,0,Pmaip1,Bcl2,0,142,0.014084507042253521,0.9952156763239941,0.9999978226741806
BARX2,HS_TEB,2,0,0,1,0,1,Pmaip1,,1,99,0.020202020202020204,0.9658247629945567,0.9999978226741806
BATF,HS_HE,2,0,0,0,0,0,,,2,60,0.03333333333333333,0.8205786989303621,0.9999978226741806
BATF,HS_TEB,2,0,0,1,1,0,Pmaip1,Bcl2,0,118,0.01694915254237288,0.9854808067624484,0.9999978226741806
BATF3,HS_TEB,2,0,0,1,0,1,Pmaip1,,1,85,0.023529411764705882,0.9368709155927029,0.9999978226741806
BCL6,HS_TEB,2,0,0,1,1,0,Pmaip1,Bcl2,0,226,0.008849557522123894,0.9999161740521791,0.9999978226741806
BHLHE23,BA_TEB,2,0,0,0,0,0,,,2,80,0.025,0.9217418277967775,0.9999978226741806
BHLHE40,AP_DUCT,2,1,0,0,0,0,,,1,39,0.05128205128205128,0.6018905011578153,0.9999978226741806
BHLHE40,AP_HE,2,0,0,0,0,0,,,2,73,0.0273972602739726,0.8947579969367424,0.9999978226741806
CEBPB,AP_HE,2,0,0,0,0,0,,,2,98,0.02040816326530612,0.9642743517825696,0.9999978226741806
CENPB,AP_LE,2,2,0,0,0,0,,,0,79,0.02531645569620253,0.91833137001412,0.9999978226741806
CENPB,HS_LE,2,0,0,0,0,0,,,2,48,0.041666666666666664,0.7136232776887587,0.9999978226741806
CHAMP1,AP_TEB,2,0,0,0,0,0,,,2,53,0.03773584905660377,0.7635095631401976,0.9999978226741806
CREB3,HS_HE,2,0,0,0,0,0,,,2,66,0.030303030303030304,0.8593177784671194,0.9999978226741806
CREBL2,AP_HE,2,0,0,0,0,0,,,2,46,0.043478260869565216,0.6913184569494495,0.9999978226741806
CREM,AP_DUCT,2,1,0,0,0,0,,,1,52,0.038461538461538464,0.7541779685732284,0.9999978226741806
CREM,BA_HE,2,0,0,0,0,0,,,2,153,0.013071895424836602,0.9971479381256041,0.9999978226741806
CXXC4,HS_LE,2,0,1,0,0,0,,,1,57,0.03508771929824561,0.7978165004820695,0.9999978226741806
DNMT1,AP_LE,2,0,0,0,0,0,,,2,205,0.00975609756097561,0.9997655712029806,0.9999978226741806
E2F6,AP_HE,2,0,0,0,0,0,,,2,74,0.02702702702702703,0.89908402605793,0.9999978226741806
E2F7,HS_TEB,2,0,0,1,0,1,Pmaip1,,1,159,0.012578616352201259,0.99785323642205,0.9999978226741806
E2F8,AP_TEB,2,0,0,0,0,0,,,2,172,0.011627906976744186,0.9988447967399144,0.9999978226741806
E2F8,HS_LE,2,0,0,0,0,0,,,2,100,0.02,0.9673103504220564,0.9999978226741806
EBF1,AP_TEB,2,0,1,0,0,0,,,1,225,0.008888888888888889,0.9999119485597244,0.9999978226741806
EBF1,HS_DUCT,2,0,0,0,0,0,,,2,37,0.05405405405405406,0.5729874178942554,0.9999978226741806
EBF4,BA_DUCT,2,0,0,0,0,0,,,2,113,0.017699115044247787,0.9817718386282468,0.9999978226741806
EGR2,HS_TEB,2,0,0,1,1,0,Pmaip1,Bcl2,0,118,0.01694915254237288,0.9854808067624484,0.9999978226741806
ELF1,HS_DUCT,2,0,0,0,0,0,,,2,21,0.09523809523809523,0.29356091478964275,0.9999978226741806
ELF3,BA_DUCT,2,0,0,0,0,0,,,2,152,0.013157894736842105,0.9970100332313352,0.9999978226741806
ELF3,HS_TEB,2,0,0,1,0,1,Pmaip1,,1,157,0.012738853503184714,0.9976396798100893,0.9999978226741806
ELF5,BA_DUCT,2,0,0,0,0,0,,,2,144,0.013888888888888888,0.9956435967842743,0.9999978226741806
EPAS1,AP_TEB,2,0,0,1,0,1,Bok,,1,109,0.01834862385321101,0.978157067761283,0.9999978226741806
ESR1,BA_HE,2,0,0,1,0,1,Aifm2,,1,134,0.014925373134328358,0.9930521703023087,0.9999978226741806
ESRRG,HS_HE,2,0,0,0,0,0,,,2,31,0.06451612903225806,0.4774079628154962,0.9999978226741806
ETS1,AP_DUCT,2,1,0,0,0,0,,,1,49,0.04081632653061224,0.7242594899204555,0.9999978226741806
ETS1,HS_DUCT,2,0,0,0,0,0,,,2,27,0.07407407407407407,0.40686790939871137,0.9999978226741806
ETS2,HS_TEB,2,0,0,1,0,1,Pmaip1,,1,121,0.01652892561983471,0.9873420061373195,0.9999978226741806
ETV5,HS_LE,2,0,0,0,0,0,,,2,45,0.044444444444444446,0.6796385238345278,0.9999978226741806
ETV7,HS_TEB,2,0,0,1,0,1,Pmaip1,,1,82,0.024390243902439025,0.9281641092015294,0.9999978226741806
FBXL19,AP_LE,2,0,0,0,0,0,,,2,64,0.03125,0.8473435019048036,0.9999978226741806
FEZF1,BA_TEB,2,0,0,0,0,0,,,2,81,0.024691358024691357,0.9250178068291446,0.9999978226741806
FOS,HS_HE,2,0,0,1,0,1,Aifm2,,1,93,0.021505376344086023,0.9554535363521327,0.9999978226741806
FOS,HS_TEB,2,0,0,1,0,1,Pmaip1,,1,190,0.010526315789473684,0.9995142816060629,0.9999978226741806
FOSB,AP_HE,2,0,0,0,0,0,,,2,47,0.0425531914893617,0.7026448823371741,0.9999978226741806
FOSB,HS_TEB,2,0,0,1,0,1,Pmaip1,,1,107,0.018691588785046728,0.9760982934379272,0.9999978226741806
FOSL2,AP_HE,2,0,0,0,0,0,,,2,73,0.0273972602739726,0.8947579969367424,0.9999978226741806
FOXA1,AP_HE,2,0,0,0,0,0,,,2,99,0.020202020202020204,0.9658247629945567,0.9999978226741806
FOXA2,AP_DUCT,2,1,0,0,0,0,,,1,72,0.027777777777777776,0.8902599400186287,0.9999978226741806
FOXA2,HS_DUCT,2,0,0,0,0,0,,,2,42,0.047619047619047616,0.6424296717036017,0.9999978226741806
FOXC1,HS_LE,2,0,0,0,0,0,,,2,53,0.03773584905660377,0.7635095631401976,0.9999978226741806
FOXC2,HS_TEB,2,0,0,0,0,0,,,2,99,0.020202020202020204,0.9658247629945567,0.9999978226741806
FOXD1,AP_TEB,2,0,0,0,0,0,,,2,58,0.034482758620689655,0.805674432891676,0.9999978226741806
FOXD1,BA_LE,2,0,0,0,0,0,,,2,69,0.028985507246376812,0.8756736668492588,0.9999978226741806
FOXD1,BA_TEB,2,0,0,0,0,0,,,2,50,0.04,0.734559682924998,0.9999978226741806
FOXD1,HS_LE,2,0,0,0,0,0,,,2,37,0.05405405405405406,0.5729874178942554,0.9999978226741806
FOXF1,HS_LE,2,0,0,0,0,0,,,2,21,0.09523809523809523,0.29356091478964275,0.9999978226741806
FOXF1,HS_TEB,2,0,0,1,0,1,Pmaip1,,1,95,0.021052631578947368,0.9592071314364534,0.9999978226741806
FOXF2,HS_TEB,2,0,0,1,0,1,Pmaip1,,1,96,0.020833333333333332,0.9609683386822194,0.9999978226741806
FOXL2,BA_TEB,2,0,0,0,0,0,,,2,90,0.022222222222222223,0.9491976434987446,0.9999978226741806
FOXP2,HS_DUCT,2,0,0,0,0,0,,,2,38,0.05263157894736842,0.5876269769689738,0.9999978226741806
FOXP2,HS_HE,2,0,0,0,0,0,,,2,94,0.02127659574468085,0.9573698842230569,0.9999978226741806
FOXQ1,HS_TEB,2,0,0,1,0,1,Pmaip1,,1,116,0.017241379310344827,0.9840948149151341,0.9999978226741806
FOXS1,HS_TEB,2,0,0,0,0,0,,,2,94,0.02127659574468085,0.9573698842230569,0.9999978226741806
GATA2,HS_HE,2,0,0,0,0,0,,,2,112,0.017857142857142856,0.9809267201072249,0.9999978226741806
GATA3,AP_HE,2,0,0,0,0,0,,,2,85,0.023529411764705882,0.9368709155927029,0.9999978226741806
GATA4,AP_HE,2,0,0,0,0,0,,,2,83,0.024096385542168676,0.9311853989432473,0.9999978226741806
GATA6,AP_HE,2,0,0,0,0,0,,,2,82,0.024390243902439025,0.9281641092015294,0.9999978226741806
GATAD2A,AP_LE,2,1,0,0,0,0,,,1,102,0.0196078431372549,0.9700972063774391,0.9999978226741806
GBX2,HS_LE,2,0,0,0,0,0,,,2,34,0.058823529411764705,0.5268297957017493,0.9999978226741806
GLI2,AP_TEB,2,0,0,0,0,0,,,2,87,0.022988505747126436,0.942108970050139,0.9999978226741806
GLIS1,AP_TEB,2,0,0,1,0,1,Bok,,1,81,0.024691358024691357,0.9250178068291446,0.9999978226741806
GLIS1,BA_LE,2,0,0,0,0,0,,,2,84,0.023809523809523808,0.9340862035287287,0.9999978226741806
GRHL2,HS_TEB,2,0,0,1,0,1,Pmaip1,,1,196,0.01020408163265306,0.9996368204793212,0.9999978226741806
GRHL3,HS_TEB,2,0,0,1,0,1,Pmaip1,,1,101,0.019801980198019802,0.9687336751246001,0.9999978226741806
HAND1,HS_LE,2,0,0,0,0,0,,,2,26,0.07692307692307693,0.3885053887570651,0.9999978226741806
HBP1,HS_DUCT,2,0,0,0,0,0,,,2,25,0.08,0.3698944906792694,0.9999978226741806
HES5,HS_LE,2,0,0,0,0,0,,,2,36,0.05555555555555555,0.5579729281540194,0.9999978226741806
HEY1,BA_DUCT,2,0,0,0,0,0,,,2,126,0.015873015873015872,0.9899399088430942,0.9999978226741806
HEY1,BA_LE,2,0,0,0,0,0,,,2,88,0.022727272727272728,0.9445704413847641,0.9999978226741806
HEY2,AP_HE,2,0,0,0,0,0,,,2,30,0.06666666666666667,0.4602449112774725,0.9999978226741806
HEY2,BA_DUCT,2,0,0,0,0,0,,,2,127,0.015748031496062992,0.9903931272185549,0.9999978226741806
HEY2,HS_LE,2,0,0,0,0,0,,,2,37,0.05405405405405406,0.5729874178942554,0.9999978226741806
HHEX,AP_HE,2,0,0,0,0,0,,,2,57,0.03508771929824561,0.7978165004820695,0.9999978226741806
HIF1A,BA_DUCT,2,0,0,0,0,0,,,2,164,0.012195121951219513,0.9983073888384653,0.9999978226741806
HIF3A,BA_DUCT,2,0,0,0,0,0,,,2,146,0.0136986301369863,0.9960338891512868,0.9999978226741806
HMGA1,AP_TEB,2,0,0,0,0,0,,,2,144,0.013888888888888888,0.9956435967842743,0.9999978226741806
HMGA2,AP_LE,2,0,0,0,0,0,,,2,133,0.015037593984962405,0.9927219402072824,0.9999978226741806
HMGA2,HS_TEB,2,0,0,1,1,0,Pmaip1,Bcl2,0,118,0.01694915254237288,0.9854808067624484,0.9999978226741806
HNF1B,HS_HE,2,0,0,0,0,0,,,2,56,0.03571428571428571,0.7896783123465352,0.9999978226741806
HNF4A,AP_HE,2,0,0,0,0,0,,,2,138,0.014492753623188406,0.9942325126938956,0.9999978226741806
