GeneSet	Description	PValue	FDR	neg_log10_pval	Genes	GeneSetSize	gene_set	fold_enrichment	ratio_intersection_term	ratio_intersection_query
GO:0050767	regulation of neurogenesis	6.77730613479378e-05	6.77730613479378e-05	4.16894289658679	Ptprz1,Trpc6,Ptn,Fgf2,Ntn1,Bhlhe41,Hey2,Map2,Wnt7b,Cysltr1,Fzd3,Mme,Map1b,Heyl,Wnt5a,Tgm2,Igf1,Egr2,Il6,Bmp7,Smarcd3,Ccl11,Map6,Prox1,Enpp2,Vegfc,Wls,Tnf,Serpinf1,Anxa2,Cdon,Epha4,Dlg4,Sema6d,Hook3,Nf1,Sema7a,S100a10,Rb1,Il6st,Sema5a,Bmpr2,Mecp2,Il33,Nptn,Arhgef2,Skil,Rab21,Braf,Dscam,Ulk2	405	6all_n	2.90040945468081	0.125925925925926	0.064070351758794
GO:0051094	positive regulation of developmental process	8.03204997963305e-05	8.03204997963305e-05	4.09517359778231	Pcp4,Ptprz1,Asic2,Inhba,Cyp1b1,Trpc6,Gdpd2,Msx2,Ptn,Prkg2,Btc,Fgf2,Ptgs2,Lrrn1,Ntn1,Flrt3,Wnt5b,Chi3l1,Gli1,Hey2,F3,Fst,Alox12,Wnt7b,Cysltr1,Fzd3,Ednra,Mme,Wnt4,Map1b,Gas6,Heyl,Wnt5a,Tgm2,Htr2a,Bcl6,Adamts20,Ngfr,Igf1,Jag1,Fgfr1,Dkkl1,Etv4,Kitl,Egr2,Flrt2,Igfbp3,Il6,Bmp7,Ano6,Smarcd3,Lpar1,Smoc2,Ccl11,Ar,Dcn,Snai2,Map6,Serpine1,Zfp385a,Csf1,Pde5a,Prox1,Hmox1,Enpp2,Sox6,Vegfc,Emp2,Cd34,Wls,Tnf,Serpinf1,Itgb8,Ecm1,Camk1,Foxa1,Prkca,Cdon,Gcnt2,Epha4,Socs5,Anxa3,Dlg4,Rara,Jak2,Sema7a,Mmd,Runx1,Rb1,App,Il6st,Sema5a,Zfp36l1,Akt3,Smurf2,Capn2,Hmgcr,Bmpr2,Mecp2,Syap1,Tmem106b,Il33,Nptn,Arhgef2,Skil,Bnip2,Rab21,Shoc2,Prkaa1,Vezf1,Braf,Dscam,Cyp26b1	1243	6all_n	2.09915273643233	0.0909090909090909	0.142317380352645
GO:0007599	hemostasis	0.000110436656120539	0.000110436656120539	3.95688675171028	Fgg,P2ry1,Fgb,F3,Alox12,F5,Gas6,Pla2g4a,Stxbp1,Il6,Entpd1,Ano6,Plau,Tfpi2,Fbln1,Procr,Serpine1,Zfp385a,Selp,Entpd2,Prkca,Anxa2,Plat,Jak2	151	6all_n	5.19431950986295	0.158940397350993	0.0427807486631016
GO:0051960	regulation of nervous system development	0.000115468421667449	0.000115468421667449	3.93753677049649	Ptprz1,Asic2,Trpc6,Ptn,Fgf2,Lrrn1,Ntn1,Flrt3,Bhlhe41,Hey2,Map2,Wnt7b,Cysltr1,Fzd3,Mme,Map1b,Heyl,Wnt5a,Tgm2,Ngfr,Igf1,Egr2,Flrt2,Il6,Bmp7,Smarcd3,Ccl11,Map6,Prox1,Enpp2,Vegfc,Wls,Tnf,Serpinf1,Anxa2,Cdon,Epha4,Dlg4,Sema6d,Rara,Hook3,Nf1,Sema7a,S100a10,Rb1,Il6st,Sema5a,Bmpr2,Mecp2,Il33,Nptn,Arhgef2,Skil,Rab21,Braf,Dscam,Ulk2	481	6all_n	2.72944243044746	0.118503118503119	0.071608040201005
GO:0035295	tube development	0.000123323615154711	0.000123323615154711	3.90895375268758	Pgr,Cyp1b1,Msx2,Ptn,Ndnf,Inhbb,Areg,Igfbp5,Fgf2,Ptgs2,Lgr5,Ntn1,Hey1,Chi3l1,Gli1,Hey2,F3,Tbx3,Alox12,Lepr,Wnt7b,Cysltr1,Fzd3,Meis1,Ednra,Thbs4,Mme,Wnt4,Heyl,Wnt5a,Tgm2,Ngfr,Igf1,Esr1,Jag1,Fgfr1,Etv4,Bmp7,Plau,Cemip2,Smoc2,Ccl11,Ar,Dcn,Reck,Ccl2,Tnfaip2,Sall2,Serpine1,Csf1,Prox1,Hmox1,Ecscr,Vegfc,Emp2,Cd34,Itgav,Tnf,Ttbk2,Serpinf1,Emcn,Sulf1,Prdm1,Spred1,Itgb8,Ecm1,Foxa1,Prkca,Anxa2,Epha4,Cd47,Anxa3,Rara,Nf1,Mical2,Rb1,Vav3,Rora,Il6st,Zfp36l1,Epgn,Akt3	1006	6all_n	2.3133459306083	0.0815109343936382	0.126934984520124
GO:0050673	epithelial cell proliferation	0.000139468551791949	0.000139468551791949	3.85552370868376	Pgr,Ptn,Rasgrf1,Areg,Igfbp5,Fgf2,Lgr5,Fa2h,Gli1,F3,Fst,Ednra,Thbs4,Tacr1,Wnt5a,Ngfr,Igf1,Esr1,Jag1,Fgfr1,Etv4,Igfbp3,Il6,Plau,Ccl11,Rian,Ar,Ccl2,Snai2,Prox1,Hmox1,Vegfc,Cd34,Tnf,Serpinf1,Sulf1,Cdkn1a,Ecm1,Prkca	418	6all_n	3.39402483481431	0.0933014354066986	0.0773809523809524
GO:0048514	blood vessel morphogenesis	0.000148684596491654	0.000148684596491654	3.82773402142548	Cyp1b1,Ptn,Ndnf,Fgf2,Ptgs2,Hey1,Chi3l1,Hey2,F3,Lepr,Wnt7b,Cysltr1,Meis1,Ednra,Thbs4,Wnt4,Wnt5a,Ngfr,Jag1,Fgfr1,Plau,Cemip2,Smoc2,Ccl11,Dcn,Reck,Ccl2,Tnfaip2,Serpine1,Prox1,Hmox1,Ecscr,Vegfc,Emp2,Cd34,Itgav,Tnf,Serpinf1,Emcn,Sulf1,Prdm1,Spred1,Itgb8,Ecm1,Prkca,Anxa2,Cd47,Anxa3,Nf1,Vav3,Rora,Zfp36l1,Epgn,Akt3,Tiparp,Bmpr2,Mecp2	580	6all_n	2.63805220376635	0.0982758620689655	0.0834553440702782
GO:0048699	generation of neurons	0.000179436420402848	0.000179436420402848	3.7460894031277	Pcp4,Ptprz1,Inhba,Trpc6,Cntnap2,Ptn,Col25a1,Apod,Kif5c,Rasgrf1,Ndnf,Areg,Fgf2,Mycl,Ntn1,Ugt8a,Gfra1,Slc44a4,Flrt3,Wnt5b,A830082K12Rik,Ntm,Hey2,Map2,Wnt7b,Fzd3,Meis1,Etv1,Myoc,Ednra,Thbs4,Wnt4,Map1b,Gas6,Heyl,Wnt5a,Mboat1,Bcl6,Alcam,Ngfr,Jag1,Fgfr1,Etv4,Egr2,Tuba1a,Stxbp1,Il1r1,Flrt2,Il6,Megf9,Bmp7,Nyap1,Smarcd3,Lpar1,Chl1,Vcam1,Magi2,Prag1,Map6,Adcy1,Chn1,Prox1,Matn2,Epb41l3,Vegfc,Sdc2,Wls,Creb3l2,Serpinf1,Prdm1,Lgals1,Hmcn2,Camk1,Foxa1,Cdon,Lifr,Epha4,Ptpn9,Efnb1,Tsku,Ugdh,Dlg4,Sema6d,Rara,Id3,Jak2,Nf1,Sema7a,Mmd,Kif3c,C9orf72,Cep85l,Btbd3,Rb1,App,Rora,Sema5a,Itm2c,Tmem30a,Enc1,Adam10,Lrig2,Bmpr2,Mecp2,Tmem106b,Dennd5a,Mosmo,Pgrmc1,Nptn,Arhgef2,Skil,Bnip2,Rab21,Taok1,Atp7a,Rab11a,Shoc2,Grcc10,Braf,Dscam,Ulk2,Cbfa2t2,Ptpn5	1353	6all_n	2.0602314866839	0.0909090909090909	0.15203955500618
GO:0010812	negative regulation of cell-substrate adhesion	0.000218244196632051	0.000218244196632051	3.66105729586609	Ptprz1,Meltf,Apod,Myoc,Bcl6,Jag1,Arhgap6,Fbln1,Serpine1,Enpp2,Lgals1,Gcnt2,Nf1,Acer2	54	6all_n	7.97526721352225	0.259259259259259	0.023489932885906
GO:0030182	neuron differentiation	0.000228742807160464	0.000228742807160464	3.64065255347849	Pcp4,Ptprz1,Inhba,Trpc6,Cntnap2,Ptn,Col25a1,Apod,Kif5c,Rasgrf1,Ndnf,Areg,Fgf2,Mycl,Ntn1,Ugt8a,Gfra1,Slc44a4,Flrt3,Wnt5b,A830082K12Rik,Ntm,Hey2,Map2,Wnt7b,Fzd3,Meis1,Etv1,Myoc,Ednra,Thbs4,Wnt4,Map1b,Heyl,Wnt5a,Mboat1,Bcl6,Alcam,Ngfr,Jag1,Fgfr1,Etv4,Egr2,Tuba1a,Stxbp1,Flrt2,Il6,Megf9,Bmp7,Nyap1,Lpar1,Chl1,Vcam1,Magi2,Prag1,Map6,Adcy1,Chn1,Prox1,Matn2,Epb41l3,Sdc2,Wls,Creb3l2,Serpinf1,Prdm1,Lgals1,Hmcn2,Camk1,Foxa1,Cdon,Lifr,Epha4,Ptpn9,Efnb1,Tsku,Ugdh,Dlg4,Sema6d,Rara,Id3,Jak2,Nf1,Sema7a,Mmd,Kif3c,C9orf72,Btbd3,Rb1,App,Rora,Sema5a,Itm2c,Tmem30a,Enc1,Adam10,Lrig2,Bmpr2,Mecp2,Tmem106b,Dennd5a,Mosmo,Pgrmc1,Nptn,Arhgef2,Skil,Bnip2,Rab21,Taok1,Atp7a,Rab11a,Shoc2,Grcc10,Braf,Dscam,Ulk2,Cbfa2t2,Ptpn5	1284	6all_n	2.08269506987204	0.0919003115264797	0.145859085290482
