human_symbol,mouse_symbol,human_ensembl,mouse_ensembl,effect,pathway,is_core,is_mitochondrial,sources,in_GO,in_KEGG,in_Reactome,in_Hallmark,confidence,evidence_score,original_category,family_pathway,modality
QRICH1,Qrich1,ENSG00000198218,ENSMUSG00000006673,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RACK1,Rack1,ENSG00000204628,ENSMUSG00000020372,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RAPGEF2,Rapgef2,ENSG00000109756,ENSMUSG00000062232,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RARG,Rarg,ENSG00000172819,ENSMUSG00000001288,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RASGRF2,Rasgrf2,ENSG00000113319,ENSMUSG00000021708,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RASSF2,Rassf2,ENSG00000101265,ENSMUSG00000027339,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RBM5,Rbm5,ENSG00000003756,ENSMUSG00000032580,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
REST,Rest,ENSG00000084093,ENSMUSG00000029249,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RET,Ret,ENSG00000165731,ENSMUSG00000030110,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RFPL1,NA,ENSG00000128250,NA,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RGCC,Rgcc,ENSG00000102760,ENSMUSG00000022018,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RHOB,Rhob,ENSG00000143878,ENSMUSG00000054364,pro-death,apoptosis,FALSE,FALSE,"GO_Pro_Human,Hallmark",TRUE,FALSE,FALSE,TRUE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RHOT1,Rhot1,ENSG00000126858,ENSMUSG00000017686,pro-death,apoptosis,FALSE,TRUE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RHOT2,Rhot2,ENSG00000140983,ENSMUSG00000025733,pro-death,apoptosis,FALSE,TRUE,"GO_Pro_Human,Hallmark",TRUE,FALSE,FALSE,TRUE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
